Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Timeframe
01/01/2020,Oneoff,16.CB,16,cbonds,25000.0,77.58,322,1
01/01/2020,Oneoff,16.SB,16,sbonds,75000.0,253.28,296,1
01/01/2020,Oneoff,16.GO,16,gold,0.0,143.95,0,1
01/01/2020,Oneoff,16.CA,16,cash,0.0,1,0,1
01/01/2020,Oneoff,17.ST,17,stocks,0.0,194.59,0,1
01/01/2020,Oneoff,17.CB,17,cbonds,20000.0,77.58,257,1
01/01/2020,Oneoff,17.SB,17,sbonds,80000.0,253.28,315,1
01/01/2020,Oneoff,17.GO,17,gold,0.0,143.95,0,1
01/01/2020,Oneoff,17.CA,17,cash,0.0,1,0,1
01/01/2020,Oneoff,18.ST,18,stocks,0.0,194.59,0,1
01/01/2020,Oneoff,18.CB,18,cbonds,15000.0,77.58,193,1
01/01/2020,Oneoff,18.SB,18,sbonds,85000.0,253.28,335,1
01/01/2020,Oneoff,18.GO,18,gold,0.0,143.95,0,1
01/01/2020,Oneoff,18.CA,18,cash,0.0,1,0,1
01/01/2020,Oneoff,19.ST,19,stocks,0.0,194.59,0,1
01/01/2020,Oneoff,19.CB,19,cbonds,10000.0,77.58,128,1
01/01/2020,Oneoff,19.SB,19,sbonds,90000.0,253.28,355,1
01/01/2020,Oneoff,19.GO,19,gold,0.0,143.95,0,1
01/01/2020,Oneoff,19.CA,19,cash,0.0,1,0,1
01/01/2020,Oneoff,20.ST,20,stocks,0.0,194.59,0,1
01/01/2020,Oneoff,20.CB,20,cbonds,5000.0,77.58,64,1
01/01/2020,Oneoff,20.SB,20,sbonds,95000.0,253.28,375,1
01/01/2020,Oneoff,20.GO,20,gold,0.0,143.95,0,1
01/01/2020,Oneoff,20.CA,20,cash,0.0,1,0,1
01/01/2020,Oneoff,21.ST,21,stocks,0.0,194.59,0,1
01/01/2020,Oneoff,21.CB,21,cbonds,0.0,77.58,0,1
01/01/2020,Oneoff,21.SB,21,sbonds,100000.0,253.28,394,1
01/01/2020,Oneoff,21.GO,21,gold,0.0,143.95,0,1
01/01/2020,Oneoff,21.CA,21,cash,0.0,1,0,1
01/01/2020,Oneoff,22.ST,22,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,22.CB,22,cbonds,95000.0,77.58,1224,1
01/01/2020,Oneoff,22.SB,22,sbonds,0.0,253.28,0,1
01/01/2020,Oneoff,22.GO,22,gold,0.0,143.95,0,1
01/01/2020,Oneoff,22.CA,22,cash,0.0,1,0,1
01/01/2020,Oneoff,23.ST,23,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,23.CB,23,cbonds,90000.0,77.58,1160,1
01/01/2020,Oneoff,23.SB,23,sbonds,5000.0,253.28,19,1
01/01/2020,Oneoff,23.GO,23,gold,0.0,143.95,0,1
01/01/2020,Oneoff,23.CA,23,cash,0.0,1,0,1
01/01/2020,Oneoff,24.ST,24,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,24.CB,24,cbonds,85000.0,77.58,1095,1
01/01/2020,Oneoff,24.SB,24,sbonds,10000.0,253.28,39,1
01/01/2020,Oneoff,24.GO,24,gold,0.0,143.95,0,1
01/01/2020,Oneoff,24.CA,24,cash,0.0,1,0,1
01/01/2020,Oneoff,25.ST,25,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,25.CB,25,cbonds,80000.0,77.58,1031,1
01/01/2020,Oneoff,25.SB,25,sbonds,15000.0,253.28,59,1
01/01/2020,Oneoff,25.GO,25,gold,0.0,143.95,0,1
01/01/2020,Oneoff,25.CA,25,cash,0.0,1,0,1
01/01/2020,Oneoff,26.ST,26,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,26.CB,26,cbonds,75000.0,77.58,966,1
01/01/2020,Oneoff,26.SB,26,sbonds,20000.0,253.28,78,1
01/01/2020,Oneoff,26.GO,26,gold,0.0,143.95,0,1
01/01/2020,Oneoff,26.CA,26,cash,0.0,1,0,1
01/01/2020,Oneoff,27.ST,27,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,27.CB,27,cbonds,70000.0,77.58,902,1
01/01/2020,Oneoff,27.SB,27,sbonds,25000.0,253.28,98,1
01/01/2020,Oneoff,27.GO,27,gold,0.0,143.95,0,1
01/01/2020,Oneoff,27.CA,27,cash,0.0,1,0,1
01/01/2020,Oneoff,28.ST,28,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,28.CB,28,cbonds,65000.0,77.58,837,1
01/01/2020,Oneoff,28.SB,28,sbonds,30000.0,253.28,118,1
01/01/2020,Oneoff,28.GO,28,gold,0.0,143.95,0,1
01/01/2020,Oneoff,28.CA,28,cash,0.0,1,0,1
01/01/2020,Oneoff,29.ST,29,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,29.CB,29,cbonds,60000.0,77.58,773,1
01/01/2020,Oneoff,29.SB,29,sbonds,35000.0,253.28,138,1
01/01/2020,Oneoff,29.GO,29,gold,0.0,143.95,0,1
01/01/2020,Oneoff,29.CA,29,cash,0.0,1,0,1
01/01/2020,Oneoff,30.ST,30,stocks,5000.0,194.59,25,1
01/01/2020,Oneoff,30.CB,30,cbonds,55000.00000000001,77.58,708,1
