date,price
31/12/2020,89.94
30/12/2020,89.68
29/12/2020,89.99
28/12/2020,90.34
25/12/2020,90.32
24/12/2020,90.32
23/12/2020,90.41
22/12/2020,90.65
21/12/2020,90.04
18/12/2020,90.02
17/12/2020,89.82
16/12/2020,90.45
15/12/2020,90.47
14/12/2020,90.71
11/12/2020,90.98
10/12/2020,90.82
09/12/2020,91.09
08/12/2020,90.96
07/12/2020,90.79
04/12/2020,90.70
03/12/2020,90.71
02/12/2020,91.12
01/12/2020,91.31
30/11/2020,91.87
27/11/2020,91.79
26/11/2020,91.99
25/11/2020,91.99
24/11/2020,92.23
23/11/2020,92.50
20/11/2020,92.39
19/11/2020,92.29
18/11/2020,92.32
17/11/2020,92.42
16/11/2020,92.64
13/11/2020,92.75
12/11/2020,92.96
11/11/2020,93.04
10/11/2020,92.75
09/11/2020,92.72
06/11/2020,92.23
05/11/2020,92.53
04/11/2020,93.41
03/11/2020,93.55
02/11/2020,94.13
30/10/2020,94.04
29/10/2020,93.96
28/10/2020,93.40
27/10/2020,92.94
26/10/2020,93.04
23/10/2020,92.77
22/10/2020,92.95
21/10/2020,92.61
20/10/2020,93.07
19/10/2020,93.43
16/10/2020,93.68
15/10/2020,93.86
14/10/2020,93.38
13/10/2020,93.53
12/10/2020,93.07
09/10/2020,93.06
08/10/2020,93.61
07/10/2020,93.63
06/10/2020,93.69
05/10/2020,93.51
02/10/2020,93.84
01/10/2020,93.71
30/09/2020,93.89
29/09/2020,93.89
28/09/2020,94.28
25/09/2020,94.64
24/09/2020,94.35
23/09/2020,94.39
22/09/2020,93.99
21/09/2020,93.66
18/09/2020,92.93
17/09/2020,92.97
16/09/2020,93.21
15/09/2020,93.05
14/09/2020,93.05
11/09/2020,93.33
10/09/2020,93.34
09/09/2020,93.25
08/09/2020,93.44
07/09/2020,92.72
04/09/2020,92.72
03/09/2020,92.74
02/09/2020,92.85
01/09/2020,92.34
31/08/2020,92.14
28/08/2020,92.37
27/08/2020,93.00
26/08/2020,93.01
25/08/2020,93.02
24/08/2020,93.30
21/08/2020,93.25
20/08/2020,92.79
19/08/2020,92.89
18/08/2020,92.27
17/08/2020,92.85
14/08/2020,93.10
13/08/2020,93.33
12/08/2020,93.44
11/08/2020,93.63
10/08/2020,93.58
07/08/2020,93.43
06/08/2020,92.79
05/08/2020,92.87
04/08/2020,93.38
03/08/2020,93.54
31/07/2020,93.35
30/07/2020,93.02
29/07/2020,93.45
28/07/2020,93.70
27/07/2020,93.67
24/07/2020,94.43
23/07/2020,94.69
22/07/2020,94.99
21/07/2020,95.12
20/07/2020,95.83
17/07/2020,95.94
16/07/2020,96.35
15/07/2020,96.08
14/07/2020,96.26
13/07/2020,96.46
10/07/2020,96.65
09/07/2020,96.70
08/07/2020,96.43
07/07/2020,96.88
06/07/2020,96.72
03/07/2020,97.17
02/07/2020,97.32
01/07/2020,97.20
30/06/2020,97.39
29/06/2020,97.54
26/06/2020,97.43
25/06/2020,97.43
24/06/2020,97.15
23/06/2020,96.65
22/06/2020,97.04
19/06/2020,97.62
18/06/2020,97.42
17/06/2020,97.16
16/06/2020,96.96
15/06/2020,96.71
12/06/2020,97.32
11/06/2020,96.73
10/06/2020,95.96
09/06/2020,96.32
08/06/2020,96.62
05/06/2020,96.94
04/06/2020,96.68
03/06/2020,97.28
02/06/2020,97.67
01/06/2020,97.83
29/05/2020,98.34
28/05/2020,98.38
27/05/2020,99.06
26/05/2020,98.91
25/05/2020,99.86
22/05/2020,99.86
21/05/2020,99.37
