date,price
89.94,12/31/20
89.68,12/30/20
89.99,12/29/20
90.34,12/28/20
12/25/20,90.32
12/24/20,90.32
90.41,12/23/20
12/22/20,90.65
12/21/20,90.04
90.02,12/18/20
89.82,12/17/20
90.45,12/16/20
90.47,12/15/20
90.71,12/14/20
12/11/20,90.98
12/10/20,90.82
91.09,12/09/20
12/08/20,90.96
12/07/20,90.79
12/04/20,90.70
12/03/20,90.71
91.12,12/02/20
12/01/20,91.31
11/30/20,91.87
91.79,11/27/20
11/26/20,91.99
11/25/20,91.99
92.23,11/24/20
92.50,11/23/20
92.39,11/20/20
11/19/20,92.29
11/18/20,92.32
11/17/20,92.42
92.64,11/16/20
11/13/20,92.75
92.96,11/12/20
11/11/20,93.04
92.75,11/10/20
92.72,11/09/20
92.23,11/06/20
11/05/20,92.53
11/04/20,93.41
93.55,11/03/20
94.13,11/02/20
10/30/20,94.04
93.96,10/29/20
93.40,10/28/20
10/27/20,92.94
10/26/20,93.04
92.77,10/23/20
92.95,10/22/20
92.61,10/21/20
93.07,10/20/20
93.43,10/19/20
10/16/20,93.68
10/15/20,93.86
10/14/20,93.38
93.53,10/13/20
93.07,10/12/20
93.06,10/09/20
93.61,10/08/20
93.63,10/07/20
10/06/20,93.69
93.51,10/05/20
10/02/20,93.84
10/01/20,93.71
93.89,09/30/20
93.89,09/29/20
09/28/20,94.28
09/25/20,94.64
09/24/20,94.35
94.39,09/23/20
09/22/20,93.99
09/21/20,93.66
09/18/20,92.93
09/17/20,92.97
93.21,09/16/20
09/15/20,93.05
09/14/20,93.05
09/11/20,93.33
09/10/20,93.34
93.25,09/09/20
93.44,09/08/20
09/07/20,92.72
09/04/20,92.72
09/03/20,92.74
09/02/20,92.85
92.34,09/01/20
08/31/20,92.14
92.37,08/28/20
93.00,08/27/20
93.01,08/26/20
93.02,08/25/20
08/24/20,93.30
93.25,08/21/20
08/20/20,92.79
92.89,08/19/20
08/18/20,92.27
08/17/20,92.85
08/14/20,93.10
93.33,08/13/20
08/12/20,93.44
93.63,08/11/20
93.58,08/10/20
93.43,08/07/20
08/06/20,92.79
08/05/20,92.87
08/04/20,93.38
93.54,08/03/20
07/31/20,93.35
07/30/20,93.02
93.45,07/29/20
07/28/20,93.70
07/27/20,93.67
94.43,07/24/20
07/23/20,94.69
94.99,07/22/20
95.12,07/21/20
07/20/20,95.83
07/17/20,95.94
07/16/20,96.35
07/15/20,96.08
96.26,07/14/20
07/13/20,96.46
07/10/20,96.65
96.70,07/09/20
96.43,07/08/20
96.88,07/07/20
96.72,07/06/20
07/03/20,97.17
97.32,07/02/20
97.20,07/01/20
06/30/20,97.39
97.54,06/29/20
97.43,06/26/20
97.43,06/25/20
06/24/20,97.15
06/23/20,96.65
06/22/20,97.04
97.62,06/19/20
06/18/20,97.42
97.16,06/17/20
06/16/20,96.96
06/15/20,96.71
06/12/20,97.32
96.73,06/11/20
95.96,06/10/20
06/09/20,96.32
06/08/20,96.62
96.94,06/05/20
96.68,06/04/20
06/03/20,97.28
97.67,06/02/20
97.83,06/01/20
05/29/20,98.34
98.38,05/28/20
99.06,05/27/20
98.91,05/26/20
99.86,05/25/20
99.86,05/22/20
99.37,05/21/20
05/20/20,99.12
05/19/20,99.37
05/18/20,99.67
05/15/20,100.40
100.47,05/14/20
100.24,05/13/20
99.93,05/12/20
100.24,05/11/20
99.73,05/08/20
05/07/20,99.89
100.09,05/06/20
05/05/20,99.71
99.48,05/04/20
05/01/20,99.08
04/30/20,99.02
04/29/20,99.57
99.86,04/28/20
100.04,04/27/20
100.38,04/24/20
04/23/20,100.43
100.39,04/22/20
100.26,04/21/20
04/20/20,99.96
04/17/20,99.78
100.03,04/16/20
04/15/20,99.46
98.89,04/14/20
04/13/20,99.35
04/10/20,99.52
99.52,04/09/20
04/08/20,100.12
04/07/20,99.90
04/06/20,100.68
04/03/20,100.58
04/02/20,100.18
04/01/20,99.67
99.05,03/31/20
03/30/20,99.18
98.36,03/27/20
99.35,03/26/20
03/25/20,101.05
102.04,03/24/20
03/23/20,102.49
03/20/20,102.82
102.99,03/19/20
03/18/20,101.16
03/17/20,99.58
98.07,03/16/20
03/13/20,98.75
97.47,03/12/20
96.51,03/11/20
03/10/20,96.41
94.89,03/09/20
03/06/20,95.95
96.82,03/05/20
03/04/20,97.34
03/03/20,97.15
03/02/20,97.36
02/28/20,98.13
02/27/20,98.51
02/26/20,99.00
02/25/20,98.97
02/24/20,99.36
02/21/20,99.26
02/20/20,99.86
02/19/20,99.70
02/18/20,99.44
99.00,02/17/20
02/14/20,99.12
99.07,02/13/20
99.05,02/12/20
98.72,02/11/20
98.83,02/10/20
02/07/20,98.68
98.50,02/06/20
98.30,02/05/20
02/04/20,97.96
97.80,02/03/20
01/31/20,97.39
01/30/20,97.87
97.99,01/29/20
01/28/20,98.02
97.96,01/27/20
97.85,01/24/20
01/23/20,97.69
01/22/20,97.53
97.53,01/21/20
01/20/20,97.61
01/17/20,97.64
97.32,01/16/20
01/15/20,97.23
97.37,01/14/20
01/13/20,97.34
01/10/20,97.36
97.45,01/09/20
97.30,01/08/20
01/07/20,97.00
96.67,01/06/20
01/03/20,96.84
01/02/20,96.85
01/01/20,96.39
