Date,Trading Method.,Purchase ID,Asset Alloc.,Asset,Amount($),Asset price,#,Purchase_num,Timeframe
01/01/2020,Oneoff,16.GO,16,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,16.CA,16,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,17.ST,17,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,17.CB,17,cbonds,14972.94,77.58,193,14972.94,12
01/01/2020,Oneoff,17.SB,17,sbonds,74970.88,253.28,296,74970.88,12
01/01/2020,Oneoff,17.GO,17,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,17.CA,17,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,18.ST,18,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,18.CB,18,cbonds,9930.24,77.58,128,9930.24,12
01/01/2020,Oneoff,18.SB,18,sbonds,79783.2,253.28,315,79783.2,12
01/01/2020,Oneoff,18.GO,18,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,18.CA,18,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,19.ST,19,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,19.CB,19,cbonds,4965.12,77.58,64,4965.12,12
01/01/2020,Oneoff,19.SB,19,sbonds,84848.8,253.28,335,84848.8,12
01/01/2020,Oneoff,19.GO,19,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,19.CA,19,cash,10000,1,10000,10000,12
01/01/2020,Oneoff,20.ST,20,stocks,0.0,194.59,0,0.0,12
01/01/2020,Oneoff,20.CB,20,cbonds,0.0,77.58,0,0.0,12
01/01/2020,Oneoff,20.SB,20,sbonds,89914.4,253.28,355,89914.4,12
01/01/2020,Oneoff,20.GO,20,gold,0.0,143.95,0,0.0,12
01/01/2020,Oneoff,20.CA,20,cash,10000,1,10000,10000,12
01/01/2020,oneoff-rebal.,1.0.ST,1,stocks,0.0,194.59,0.0,0.0,12
01/01/2020,oneoff-rebal.,1.0.CB,1,cbonds,99923.04,77.58,1288.0,99923.04,12
01/01/2020,oneoff-rebal.,1.0.SB,1,sbonds,0.0,253.28,0.0,0.0,12
01/01/2020,oneoff-rebal.,1.0.GO,1,gold,0.0,143.95,0.0,0.0,12
01/01/2020,oneoff-rebal.,1.0.CA,1,cash,0.0,1,0.0,0.0,12
01/01/2020,oneoff-rebal.,2.0.ST,2,stocks,0.0,194.59,0.0,0.0,12
01/01/2020,oneoff-rebal.,2.0.CB,2,cbonds,0.0,77.58,0.0,0.0,12
01/01/2020,oneoff-rebal.,2.0.SB,2,sbonds,99792.32,253.28,394.0,99792.32,12
01/01/2020,oneoff-rebal.,2.0.GO,2,gold,0.0,143.95,0.0,0.0,12
01/01/2020,oneoff-rebal.,2.0.CA,2,cash,0.0,1,0.0,0.0,12
01/01/2020,oneoff-rebal.,3.0.ST,3,stocks,0.0,194.59,0.0,0.0,12
01/01/2020,oneoff-rebal.,3.0.CB,3,cbonds,89992.8,77.58,1160.0,89992.8,12
01/01/2020,oneoff-rebal.,3.0.SB,3,sbonds,0.0,253.28,0.0,0.0,12
01/01/2020,oneoff-rebal.,3.0.GO,3,gold,0.0,143.95,0.0,0.0,12
01/01/2020,oneoff-rebal.,3.0.CA,3,cash,10000.0,1,10000.0,10000.0,12
15/01/2020,oneoff-rebal.,3.0.ST,3,stocks,0.0,196.77,0.0,0.0,12
15/01/2020,oneoff-rebal.,3.0.CB,3,cbonds,91048.4,78.49,1158.0,0,12
15/01/2020,oneoff-rebal.,3.0.SB,3,sbonds,0.0,253.71,0.0,0.0,12
15/01/2020,oneoff-rebal.,3.0.GO,3,gold,0.0,146.54,0.0,0.0,12
15/01/2020,oneoff-rebal.,3.0.CA,3,cash,10000.0,1,10104.0,104.0,12
