asset alloc,method,timeframe,cost,volatility,return
22,Oneoff,1,0.2227734515,1.9335798887,0.9419311151
22,oneoff-rebal.,1,0.2227734515,2.7852727570,0.9419311151
23,DCA,1,0.2206978784,1.6027929229,1.1603116765
23,DCA-rebalance,1,0.2206978784,2.3828815995,1.1603116765
23,Oneoff,1,0.2206978784,1.6027929229,1.1603116765
23,oneoff-rebal.,1,0.2206978784,2.3828815995,1.1603116765
24,DCA,1,0.2188591963,1.3738077569,1.3506020993
24,DCA-rebalance,1,0.2188591963,2.1133849637,1.3506020993
24,Oneoff,1,0.2188591963,1.3738077569,1.3506020993
24,oneoff-rebal.,1,0.2188591963,2.1133849637,1.3506020993
25,DCA,1,0.2173110062,1.2479237190,1.5096213654
25,DCA-rebalance,1,0.2173110062,1.9696874466,1.5096213654
25,Oneoff,1,0.2173110062,1.2479237190,1.5096213654
25,oneoff-rebal.,1,0.2173110062,1.9696874466,1.5096213654
26,DCA,1,0.2160931397,1.2031682471,1.6393944779
26,DCA-rebalance,1,0.2160055655,1.9060229874,1.6438572573
26,Oneoff,1,0.2160931397,1.2031682471,1.6393944779
26,oneoff-rebal.,1,0.2160055655,1.9060229874,1.6438572573
27,DCA,1,0.2149520487,1.2142869728,1.7562673630
27,DCA-rebalance,1,0.2148764240,1.9193343697,1.7598241865
27,Oneoff,1,0.2149520487,1.2142869728,1.7562673630
27,oneoff-rebal.,1,0.2148764240,1.9193343697,1.7598241865
28,DCA,1,0.2139682625,1.2622558697,1.8579964207
28,DCA-rebalance,1,0.2139682625,1.9858566047,1.8579964207
28,Oneoff,1,0.2139682625,1.2622558697,1.8579964207
28,oneoff-rebal.,1,0.2139682625,1.9858566047,1.8579964207
29,DCA,1,0.2131004846,1.3303457019,1.9468158931
29,DCA-rebalance,1,0.2131004846,2.0633606618,1.9468158931
29,Oneoff,1,0.2131004846,1.3303457019,1.9468158931
29,oneoff-rebal.,1,0.2131004846,2.0633606618,1.9468158931
30,DCA,1,0.2123908651,1.4055889260,2.0230526121
30,DCA-rebalance,1,0.2123388844,2.1390685528,2.0248835471
30,Oneoff,1,0.2123908651,1.4055889260,2.0230526121
30,oneoff-rebal.,1,0.2123388844,2.1390685528,2.0248835471
31,DCA,1,0.2117031879,1.4863498115,2.0932381986
31,DCA-rebalance,1,0.2116568061,2.2338682429,2.0946897637
31,Oneoff,1,0.2117031879,1.4863498115,2.0932381986
31,oneoff-rebal.,1,0.2116568061,2.2338682429,2.0946897637
32,DCA,1,0.2110878277,1.5665438974,2.1560429892
32,DCA-rebalance,1,0.2110878277,2.3396333169,2.1560429892
32,Oneoff,1,0.2110878277,1.5665438974,2.1560429892
32,oneoff-rebal.,1,0.2110878277,2.3396333169,2.1560429892
33,DCA,1,0.2105374755,1.6447760706,2.2129429206
33,DCA-rebalance,1,0.2105374755,2.4332103430,2.2129429206
33,Oneoff,1,0.2105374755,1.6447760706,2.2129429206
33,oneoff-rebal.,1,0.2105374755,2.4332103430,2.2129429206
34,DCA,1,0.2100702154,1.7172657612,2.2628323325
34,DCA-rebalance,1,0.2100702154,2.5206707025,2.2628323325
34,Oneoff,1,0.2100702154,1.7172657612,2.2628323325
34,oneoff-rebal.,1,0.2100702154,2.5206707025,2.2628323325
35,DCA,1,0.2096141699,1.7883465798,2.3099105039
35,DCA-rebalance,1,0.2096141699,2.6070616886,2.3099105039
35,Oneoff,1,0.2096141699,1.7883465798,2.3099105039
35,oneoff-rebal.,1,0.2096141699,2.6070616886,2.3099105039
36,DCA,1,0.2091949518,1.8547326640,2.3525456552
36,DCA-rebalance,1,0.2091949518,2.6882570165,2.3525456552
36,Oneoff,1,0.2091949518,1.8547326640,2.3525456552
36,oneoff-rebal.,1,0.2091949518,2.6882570165,2.3525456552
37,DCA,1,0.2088132340,1.9177758352,2.3919775001
37,DCA-rebalance,1,0.2088132340,2.7657795056,2.3919775001
37,Oneoff,1,0.2088132340,1.9177758352,2.3919775001
37,oneoff-rebal.,1,0.2088132340,2.7657795056,2.3919775001
38,DCA,1,0.2084839893,1.9756141091,2.4273201301
38,DCA-rebalance,1,0.2084839893,2.8372290419,2.4273201301
38,Oneoff,1,0.2084839893,1.9756141091,2.4273201301
38,oneoff-rebal.,1,0.2084839893,2.8372290419,2.4273201301
39,DCA,1,0.2081579725,2.0314229283,2.4609468471
39,DCA-rebalance,1,0.2081579725,2.9064462037,2.4609468471
39,Oneoff,1,0.2081579725,2.0314229283,2.4609468471
39,oneoff-rebal.,1,0.2081579725,2.9064462037,2.4609468471
40,DCA,1,0.2078541228,2.0831911638,2.4917393843
40,DCA-rebalance,1,0.2078541228,2.9708765410,2.4917393843
40,Oneoff,1,0.2078541228,2.0831911638,2.4917393843
40,oneoff-rebal.,1,0.2078541228,2.9708765410,2.4917393843
41,DCA,1,0.2075720947,2.1318212347,2.5203205063
41,DCA-rebalance,1,0.2075720947,3.0315853650,2.5203205063
41,Oneoff,1,0.2075720947,2.1318212347,2.5203205063
41,oneoff-rebal.,1,0.2075720947,3.0315853650,2.5203205063
42,DCA,1,0.2433339725,1.6965994176,0.7915180705
42,DCA-rebalance,1,0.2433339725,2.4956672085,0.7915180705
42,Oneoff,1,0.2433339725,1.6965994176,0.7915180705
42,oneoff-rebal.,1,0.2433339725,2.4956672085,0.7915180705
43,DCA,1,0.2396518489,1.3981264606,1.0092749565
43,DCA-rebalance,1,0.2396518489,2.1415498437,1.0092749565
43,Oneoff,1,0.2396518489,1.3981264606,1.0092749565
43,oneoff-rebal.,1,0.2396518489,2.1415498437,1.0092749565
44,DCA,1,0.2363054063,1.1950257562,1.2015629565
44,DCA-rebalance,1,0.2363054063,1.9104794317,1.2015629565
44,Oneoff,1,0.2363054063,1.1950257562,1.2015629565
44,oneoff-rebal.,1,0.2363054063,1.9104794317,1.2015629565
45,DCA,1,0.2334973296,1.0899442801,1.3640537419
45,DCA-rebalance,1,0.2334973296,1.7952918840,1.3640537419
45,Oneoff,1,0.2334973296,1.0899442801,1.3640537419
45,oneoff-rebal.,1,0.2334973296,1.7952918840,1.3640537419
46,DCA,1,0.2312386452,1.0635796399,1.4971565974
46,DCA-rebalance,1,0.2310768509,1.7546217187,1.5021408667
46,Oneoff,1,0.2312386452,1.0635796399,1.4971565974
46,oneoff-rebal.,1,0.2310768509,1.7546217187,1.5021408667
47,DCA,1,0.2291369770,1.0914197748,1.6186090334
47,DCA-rebalance,1,0.2289961716,1.7852759628,1.6226726697
47,Oneoff,1,0.2291369770,1.0914197748,1.6186090334
47,oneoff-rebal.,1,0.2289961716,1.7852759628,1.6226726697
48,DCA,1,0.2272886645,1.1530550876,1.7244874684
48,DCA-rebalance,1,0.2271651187,1.8529783875,1.7278151434
48,Oneoff,1,0.2272886645,1.1530550876,1.7244874684
48,oneoff-rebal.,1,0.2271651187,1.8529783875,1.7278151434
49,DCA,1,0.2256711258,1.2321905339,1.8180180416
49,DCA-rebalance,1,0.2256711258,1.9519988670,1.8180180416
49,Oneoff,1,0.2256711258,1.2321905339,1.8180180416
49,oneoff-rebal.,1,0.2256711258,1.9519988670,1.8180180416
50,DCA,1,0.2243233388,1.3150354317,1.8978218238
50,DCA-rebalance,1,0.2242251361,2.0354246376,1.9000895391
50,Oneoff,1,0.2243233388,1.3150354317,1.8978218238
50,oneoff-rebal.,1,0.2242251361,2.0354246376,1.9000895391
51,DCA,1,0.2230216469,1.4022855869,1.9722020791
51,DCA-rebalance,1,0.2229336548,2.1362297105,1.9740646066
51,Oneoff,1,0.2230216469,1.4022855869,1.9722020791
51,oneoff-rebal.,1,0.2229336548,2.1362297105,1.9740646066
52,DCA,1,0.2218596446,1.4881477697,2.0393426140
52,DCA-rebalance,1,0.2218596446,2.2468086145,2.0393426140
52,Oneoff,1,0.2218596446,1.4881477697,2.0393426140
52,oneoff-rebal.,1,0.2218596446,2.2468086145,2.0393426140
53,DCA,1,0.2208025629,1.5699764315,2.0997096505
53,DCA-rebalance,1,0.2208025629,2.3437201181,2.0997096505
53,Oneoff,1,0.2208025629,1.5699764315,2.0997096505
53,oneoff-rebal.,1,0.2208025629,2.3437201181,2.0997096505
54,DCA,1,0.2199147956,1.6463157325,2.1532479488
54,DCA-rebalance,1,0.2199147956,2.4350607534,2.1532479488
54,Oneoff,1,0.2199147956,1.6463157325,2.1532479488
54,oneoff-rebal.,1,0.2199147956,2.4350607534,2.1532479488
55,DCA,1,0.2190336522,1.7197106595,2.2034419591
55,DCA-rebalance,1,0.2190336522,2.5236322156,2.2034419591
55,Oneoff,1,0.2190336522,1.7197106595,2.2034419591
55,oneoff-rebal.,1,0.2190336522,2.5236322156,2.2034419591
56,DCA,1,0.2182323572,1.7892673309,2.2497065724
56,DCA-rebalance,1,0.2182323572,2.6081845816,2.2497065724
56,Oneoff,1,0.2182323572,1.7892673309,2.2497065724
56,oneoff-rebal.,1,0.2182323572,2.6081845816,2.2497065724
57,DCA,1,0.2174910351,1.8539002577,2.2919105389
57,DCA-rebalance,1,0.2174910351,2.6872360573,2.2919105389
57,Oneoff,1,0.2174910351,1.8539002577,2.2919105389
57,oneoff-rebal.,1,0.2174910351,2.6872360573,2.2919105389
58,DCA,1,0.2168591226,1.9142476496,2.3302902705
58,DCA-rebalance,1,0.2168591226,2.7614308896,2.3302902705
58,Oneoff,1,0.2168591226,1.9142476496,2.3302902705
58,oneoff-rebal.,1,0.2168591226,2.7614308896,2.3302902705
59,DCA,1,0.2162233186,1.9712229208,2.3663963412
59,DCA-rebalance,1,0.2162233186,2.8317940300,2.3663963412
59,Oneoff,1,0.2162233186,1.9712229208,2.3663963412
59,oneoff-rebal.,1,0.2162233186,2.8317940300,2.3663963412
60,DCA,1,0.2156337276,2.0246657075,2.3998780642
60,DCA-rebalance,1,0.2156337276,2.8980518290,2.3998780642
60,Oneoff,1,0.2156337276,2.0246657075,2.3998780642
60,oneoff-rebal.,1,0.2156337276,2.8980518290,2.3998780642
61,DCA,1,0.2613424986,1.5303596815,0.6597744621
61,DCA-rebalance,1,0.2613424986,2.2966645398,0.6597744621
61,Oneoff,1,0.2613424986,1.5303596815,0.6597744621
61,oneoff-rebal.,1,0.2613424986,2.2966645398,0.6597744621
62,DCA,1,0.2563965811,1.2589006589,0.8757166389
62,DCA-rebalance,1,0.2563965811,1.9820666516,0.8757166389
62,Oneoff,1,0.2563965811,1.2589006589,0.8757166389
62,oneoff-rebal.,1,0.2563965811,1.9820666516,0.8757166389
63,DCA,1,0.2519185960,1.0752089379,1.0683989564
63,DCA-rebalance,1,0.2519185960,1.7794252556,1.0683989564
63,Oneoff,1,0.2519185960,1.0752089379,1.0683989564
63,oneoff-rebal.,1,0.2519185960,1.7794252556,1.0683989564
64,DCA,1,0.2480755525,0.9857709815,1.2326718930
64,DCA-rebalance,1,0.2480755525,1.6848313746,1.2326718930
64,Oneoff,1,0.2480755525,0.9857709815,1.2326718930
64,oneoff-rebal.,1,0.2480755525,1.6848313746,1.2326718930
65,DCA,1,0.2450046399,0.9712536188,1.3681910850
65,DCA-rebalance,1,0.2447821677,1.6583017964,1.3735857767
65,Oneoff,1,0.2450046399,0.9712536188,1.3681910850
65,oneoff-rebal.,1,0.2447821677,1.6583017964,1.3735857767
66,DCA,1,0.2420882459,1.0091600564,1.4925783961
66,DCA-rebalance,1,0.2418936104,1.6984206494,1.4970498929
66,Oneoff,1,0.2420882459,1.0091600564,1.4925783961
66,oneoff-rebal.,1,0.2418936104,1.6984206494,1.4970498929
67,DCA,1,0.2395429580,1.0784568011,1.6020270310
67,DCA-rebalance,1,0.2393711038,1.7725102050,1.6057536239
67,Oneoff,1,0.2395429580,1.0784568011,1.6020270310
67,oneoff-rebal.,1,0.2393711038,1.7725102050,1.6057536239
68,DCA,1,0.2372736219,1.1627855584,1.6987655931
68,DCA-rebalance,1,0.2372736219,1.8747777373,1.6987655931
68,Oneoff,1,0.2372736219,1.1627855584,1.6987655931
68,oneoff-rebal.,1,0.2372736219,1.8747777373,1.6987655931
69,DCA,1,0.2353878531,1.2494243325,1.7817002305
69,DCA-rebalance,1,0.2352501548,1.9615513185,1.7843376335
69,Oneoff,1,0.2353878531,1.2494243325,1.7817002305
69,oneoff-rebal.,1,0.2352501548,1.9615513185,1.7843376335
70,DCA,1,0.2335709778,1.3401023956,1.8597753419
70,DCA-rebalance,1,0.2334470311,2.0649497939,1.8619895764
70,Oneoff,1,0.2335709778,1.3401023956,1.8597753419
70,oneoff-rebal.,1,0.2334470311,2.0649497939,1.8619895764
71,DCA,1,0.2319210345,1.4277300237,1.9299542087
71,DCA-rebalance,1,0.2318089515,2.1665898179,1.9318135842
